id	lane	wave	status	depends_on	owned_paths	mission	checkpoint	escalate_if
H021	slave	W2	blocked	H009,H018	src/hare_result/	Implement Tier 1 Result and lazy backtrace semantics	Success path has no trace materialization in IR	Failure representation changes user-visible semantics
H022	slave	W2	blocked	H009,H018	src/hare_builtins/	Lower reachable Bun builtins, internal JS modules, and runtime APIs	Reachable feature inventory coverage; build deferred to W3	A builtin performs runtime source compilation
H023	slave	W3	blocked	H012,H013,H014,H015,H016,H017,H018,H019,H020,H021,H022	compiler-errors.tsv	Group and eliminate Rust and C++ compiler errors after mass fanout	Central debug compiler convergence	A repeated error reveals shared contract drift
H024	slave	W3	blocked	H023	link-errors.tsv,scripts/build/	Group and eliminate native linker and registration failures	Representative Hare application links in debug	A link failure changes ABI or toolchain policy
H025	brain	W3	blocked	H024	src/standalone_graph/,src/runtime/cli/,scripts/build/	Wire the single --hare CLI and application-specific native link	Debug standalone contains native app code and no app bytecode	Existing non-Hare build behavior changes
H026	slave	W4	blocked	H025	test/hare/,scripts/hare/	Build differential and generated instruction correctness queues	All Tier 1 instruction families match defined JSC semantics	A mismatch exposes a semantic-spec conflict
H027	slave	W4	blocked	H025	test/hare/effect/	Exercise complete Effect behavior including scopes, fibers, interruption, concurrency, and async	Pinned Effect corpus passes natively	Any behavior requires a supported subset exemption
H028	slave	W4	blocked	H025	test/hare/memory/,test/hare/fuzz/	Attack inference, ownership, pins, regions, GC roots, suspension, re-entry, and FFI	Every minimized defined case passes or every UB case is documented	A failure crosses the proof/runtime trust boundary
H029	slave	W4	blocked	H025	test/hare/result/	Attack Result and backtrace ordering, data capture, interruption, parallelism, and malformed failures	Native output matches the Hare Result specification	Success performs hidden failure work
H030	slave	W4	blocked	H026,H027,H028,H029	test-errors.tsv	Group and eliminate compatibility, differential, fuzz, and stress failures	Tier 1 correctness convergence	A failure family requires shared architecture changes
H031	slave	W5	blocked	H030	src/hare_analysis/,src/hare_opt/	Deepen Tier 1 types, shapes, calls, effects, escape, aliases, ownership, lifetimes, and pins for specialization	Every guarded optimization has an exact native Tier 1 path	A TypeScript or profile hint changes semantics
H032	slave	W5	blocked	H031	src/hare_opt/impl/	Fan out unboxing, devirtualization, scalar replacement, regions, Effect fusion, Result, and pin optimizations	Differential correctness after each optimization family	An optimization relies on behavior not declared UB
H033	slave	W5	blocked	H031	src/hare_profile/,scripts/hare/	Add semantic profiles as non-binding Tier 2 hints	False and stale profiles take correct Tier 1 paths	Profile data becomes a safety proof
H034	brain	W6	blocked	H032,H033	src/hare_opt/,scripts/build/	Resolve Tier 3 whole-program representations, calls, effects, storage, and runtime reachability	Target corpus reaches full-native whole-program lowering	A required semantic path remains opaque to LLVM
H035	slave	W6	blocked	H034	scripts/build/,src/standalone_graph/,test/hare/	Strip source, bytecode, interpreter, JIT, runtime compiler, and unreachable helpers from Hare executables	Artifact audit finds no forbidden runtime compilation payload	A reachable Bun API inherently compiles runtime source
H036	slave	W7	blocked	H035	bench/hare/,scripts/hare/	Establish release correctness, performance, memory, binary, and build-resource baselines	Release benchmarking begins only after Tier 1 correctness	A gain removes defined work or exceeds variance
H037	slave	W7	blocked	H036	test/hare/fuzz/,scripts/hare/	Run adversarial optimization, fuzz, sanitizer, stress, and security campaigns	Failures are minimized and assigned by root cause	A failure invalidates the semantic or proof model
H038	slave	W7	blocked	H037	src/hare_llvm/,src/exe_format/,test/hare/platform/	Fan out Linux arm64, macOS, Windows, and musl backends	Each claimed target passes native correctness and artifact audits	A platform needs different public semantics
